0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:50:23 +0530] "GET /logoscope/slide%20navbar%20style.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:50:27 +0530] "GET /logoscope/SearchImageResultServlet?title=alphabet HTTP/1.1" 200 3484
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:50:30 +0530] "GET /logoscope/BlackAndWhite HTTP/1.1" 200 2458330
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:50:33 +0530] "GET /logoscope/SearchImage.jsp HTTP/1.1" 200 2839
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:50:33 +0530] "GET /logoscope/slide%20navbar%20style.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:50:40 +0530] "GET /logoscope/SearchImageResultServlet?title=alphabet+3 HTTP/1.1" 200 3484
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:50:43 +0530] "GET /logoscope/Alphabets HTTP/1.1" 200 9715823
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:50:45 +0530] "GET /logoscope/SearchImage.jsp HTTP/1.1" 200 2839
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:50:45 +0530] "GET /logoscope/slide%20navbar%20style.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:50:47 +0530] "GET /logoscope/SearchImageResultServlet?title=A HTTP/1.1" 200 138142
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:50:58 +0530] "GET /logoscope/GrabImageServlet?id=23 HTTP/1.1" 200 268091
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:51:03 +0530] "GET /logoscope/Alphabets HTTP/1.1" 200 9715823
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:51:05 +0530] "GET /logoscope/BlackAndWhite HTTP/1.1" 200 2458330
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:51:14 +0530] "GET /logoscope/Alphabets HTTP/1.1" 200 9715823
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:51:16 +0530] "GET /logoscope/Bold HTTP/1.1" 200 1110293
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:51:24 +0530] "GET /logoscope/Minimal HTTP/1.1" 200 993799
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:51:32 +0530] "GET /logoscope/Fancy HTTP/1.1" 200 23467102
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:51:47 +0530] "GET /logoscope/GrabUserServlet HTTP/1.1" 200 5239
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:51:49 +0530] "GET /logoscope/LogoutServlet? HTTP/1.1" 200 9312
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:51:52 +0530] "GET /logoscope/GrabUserServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:51:52 +0530] "GET /logoscope/login.jsp HTTP/1.1" 200 3294
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:51:52 +0530] "GET /logoscope/slide%20navbar%20style.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:52:00 +0530] "POST /logoscope/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:52:00 +0530] "GET /logoscope/AdminLogin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:52:04 +0530] "GET /logoscope/GrabUserServlet HTTP/1.1" 200 5344
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:52:12 +0530] "GET /logoscope/ImageUpload.jsp HTTP/1.1" 200 3918
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:52:17 +0530] "GET /logoscope/SearchImage.jsp HTTP/1.1" 200 2839
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:52:17 +0530] "GET /logoscope/slide%20navbar%20style.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:52:20 +0530] "GET /logoscope/ImageUpload.jsp HTTP/1.1" 200 3918
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:52:24 +0530] "GET /logoscope/Minimal HTTP/1.1" 200 993799
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:52:30 +0530] "GET /logoscope/index.jsp HTTP/1.1" 200 9280
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:52:32 +0530] "GET /logoscope/index.jsp HTTP/1.1" 200 9280
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:53:06 +0530] "GET /logoscope/GrabImageServlet?id=99 HTTP/1.1" 200 465411
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:53:18 +0530] "GET /logoscope/SearchImage.jsp HTTP/1.1" 200 2839
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:53:18 +0530] "GET /logoscope/slide%20navbar%20style.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:53:21 +0530] "GET /logoscope/GrabImageServlet?id=99 HTTP/1.1" 200 465411
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:53:23 +0530] "GET /logoscope/GrabUserServlet HTTP/1.1" 200 5344
